,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
139,7,4,4,2,0,16,8,5,7,3,3,5,0,8,4,4,5,2,1,2,1,3,8,9,5,9,5,7,19,3,5,3,5
140,7,5,4,2,0,16,8,5,7,3,3,5,0,8,4,4,5,2,2,2,1,3,8,9,5,9,5,7,19,3,5,3,4
141,7,5,4,2,0,16,8,5,7,3,3,5,0,8,4,3,5,2,1,2,1,3,8,9,5,8,5,7,19,3,5,3,4
142,7,5,4,2,0,16,8,5,7,3,3,5,0,8,4,3,5,2,1,2,1,3,8,9,5,8,5,7,18,3,5,3,4
143,7,5,4,2,0,16,8,5,7,3,3,5,0,8,3,3,5,2,1,2,1,4,8,9,5,8,5,7,18,3,5,3,4
144,7,5,4,2,0,15,8,5,7,3,3,5,0,8,3,3,5,2,1,2,1,4,8,9,5,8,5,7,18,3,5,3,4
145,7,5,4,2,0,16,8,5,7,3,3,5,0,8,3,3,5,2,1,2,1,4,8,9,5,8,5,7,19,3,4,3,4
146,7,5,4,2,0,16,8,5,7,3,3,5,0,8,4,3,5,2,1,2,1,4,8,9,5,8,5,7,19,3,4,3,4
147,7,4,4,2,0,16,8,5,7,3,3,5,0,8,3,3,5,2,1,2,1,4,7,9,5,8,5,7,19,3,4,3,4
148,7,4,4,3,0,16,8,5,7,3,3,5,0,8,3,3,6,2,1,2,1,4,8,9,5,8,5,7,19,3,4,3,4
149,7,4,4,3,0,17,7,5,7,3,3,5,0,8,4,3,6,2,1,2,1,4,8,9,5,9,5,7,19,3,4,3,4
150,7,4,4,2,0,17,7,5,7,3,3,5,0,8,3,3,6,2,2,2,1,4,7,9,5,9,5,7,19,3,5,3,4
151,7,4,4,2,0,17,7,5,7,3,3,5,0,8,3,3,6,2,2,2,1,4,7,9,5,9,5,7,19,3,5,3,4
152,7,4,4,2,0,17,7,5,7,3,3,5,0,8,3,3,6,2,2,2,1,4,7,9,5,9,5,7,19,3,5,3,4
153,7,4,4,2,0,17,8,5,7,3,3,5,0,8,3,3,6,2,1,2,1,4,7,9,5,9,5,7,19,3,5,3,4
154,7,4,4,3,0,17,8,5,7,2,3,5,0,8,3,3,6,2,2,2,1,4,7,9,5,10,5,7,19,4,5,3,4
155,7,4,4,3,0,17,8,5,7,2,3,5,0,8,3,3,6,2,2,2,1,4,7,8,5,10,5,7,19,4,5,2,4
156,7,4,4,3,0,17,9,5,7,2,3,5,0,8,4,4,6,3,1,2,1,4,7,8,5,10,5,7,19,4,5,2,4
157,7,3,4,3,0,17,9,5,7,2,3,5,0,8,4,4,6,3,1,3,1,4,7,8,5,10,5,7,19,4,5,2,5
158,7,3,4,3,0,17,9,5,7,2,3,5,0,8,4,3,6,2,1,3,1,4,7,8,5,10,5,7,19,3,5,2,4
159,7,3,4,3,0,17,9,5,7,2,3,5,0,8,4,3,6,2,1,3,1,4,7,8,5,10,5,7,19,3,4,2,5
160,7,3,4,3,0,18,9,5,7,2,3,5,0,8,4,3,6,2,1,3,1,5,7,8,5,11,5,7,19,4,4,3,5
161,7,3,4,3,0,18,9,5,7,2,3,5,0,8,4,3,6,2,1,3,1,5,7,8,5,11,5,7,19,4,5,2,5
162,7,3,4,3,0,17,9,5,7,2,3,5,0,8,4,3,6,2,1,3,0,5,7,8,5,11,5,7,19,3,5,2,5
163,6,3,4,3,0,17,9,5,7,2,3,5,0,8,4,3,6,2,1,3,1,5,7,8,5,10,5,7,19,3,5,2,5
164,6,3,4,3,0,16,9,5,7,2,3,5,0,8,4,3,6,2,1,3,1,5,8,8,5,10,5,7,19,3,5,2,5
165,6,3,4,3,0,16,9,5,7,2,3,5,0,8,4,3,6,2,2,3,1,6,8,8,5,10,5,7,19,3,5,2,5
166,6,3,4,3,0,16,9,5,6,2,3,5,0,8,4,3,6,2,1,4,1,6,8,8,5,10,5,7,19,3,5,2,5
167,6,4,4,3,0,16,9,5,7,2,3,5,0,8,4,3,6,2,1,4,1,6,8,8,5,10,5,7,19,3,5,2,6
168,6,3,4,3,0,16,9,5,7,2,3,5,0,8,4,3,6,2,1,4,1,6,8,8,5,10,5,7,19,3,5,2,5
169,6,3,4,3,0,16,9,5,7,3,3,5,0,8,4,3,6,2,1,4,1,6,8,8,5,10,5,7,19,3,5,2,5
170,6,3,4,3,0,15,10,5,7,3,3,5,0,8,4,3,6,2,1,4,1,6,8,8,5,10,5,7,19,4,5,2,4
